Country,Product,1995_Jan,1995_Feb,1995 Mar,1995 Apr,1995 May,1995 Jun,1995 Jul,1995 Aug,1995 Sep,1995 Oct,1995 Nov,1995 Dec,1996 Jan,1996 Feb,1996 Mar,1996 Apr,1996 May,1996 June,1996 July,1996 Aug,1996 Sept,1996 Oct,1996 Nov,1996 Dec,1997 Jan,1997 Feb,1997 Mar,1997 Apr,1997 May,1997 Jun,1997 Jul,1997 Aug,1997 Sep,1997 Oct,1997 Nov,1997 Dec,1998 Jan,1998 Feb,1998 Mar,1998 Apr,1998 May,1998 Jun,1998 Jul,1998 Aug,1998 Sep,1998 Oct,1998 Nov,1998 Dec,1999 Jan,1999 Feb,1999 Mar,1999 Apr,1999 May,1999 June,1999 July,1999 Aug,1999 Sept,1999 Oct,1999 Nov,1999 Dec,2000 Jan,2000 Feb,2000 Mar,2000 Apr,2000 May,2000 June,2000 July,2000 Aug,2000 Sept,2000 Oct,2000 Nov,2000 Dec,2001 Jan,2001 Feb,2001 Mar,2001 Apr,2001 May,2001 June,2001 July,2001 Aug,2001 Sept,2001 Oct,2001 Nov,2001 Dec,2002 Jan,2002 Feb,2002 Mar,2002 Apr,2002 May,2002 June,2002 July,2002 Aug,2002 Sept,2002 Oct,2002 Nov,2002 Dec,2003 Jan,2003 Feb,2003 Mar,2003 Apr,2003 May,2003 June,2003 July,2003 Aug,2003 Sept,2003 Oct,2003 Nov,2003 Dec,2004 Jan,2004 Feb,2004 Mar,2004 Apr,2004 May,2004 June,2004 July,2004 Aug,2004 Sept,2004 Oct,2004 Nov,2004 Dec,2005 Jan,2005 Feb,2005 Mar,2005 Apr,2005 May,2005 June,2005 July,2005 Aug,2005 Sept,2005 Oct,2005 Nov,2005 Dec,2006 Jan,2006 Feb,2006 Mar,2006 Apr,2006 May,2006 June,2006 July,2006 Aug,2006 Sept,2006 Oct,2006 Nov,2006 Dec,2007 Jan,2007 Feb,2007 Mar,2007 Apr,2007 May,2007 June,2007 July,2007 Aug,2007 Sept,2007 Oct,2007 Nov,2007 Dec,2008 Jan,2008 Feb,2008 Mar,2008 Apr,2008 May,2008 June,2008 July,2008 Aug,2008 Sept,2008 Oct,2008 Nov,2008 Dec,2009 Jan,2009 Feb,2009 Mar,2009 Apr,2009 May,2009 June,2009 July,2009 Aug,2009 Sept,2009 Oct,2009 Nov,2009 Dec,2010 Jan,2010 Feb,2010 Mar,2010 Apr,2010 May,2010 June,2010 July,2010 Aug,2010 Sept,2010 Oct,2010 Nov,2010 Dec,2011 Jan,2011 Feb,2011 Mar,2011 Apr,2011 May,2011 June,2011 July,2011 Aug,2011 Sept,2011 Oct,2011 Nov,2011 Dec,2012 Jan,2012 Feb,2012 Mar,2012 Apr,2012 May,2012 June,2012 July,2012 Aug,2012 Sept,2012 Oct,2012 Nov,2012 Dec,2013 Jan,2013 Feb,2013 Mar,2013 Apr,2013 May,2013 June,2013 July,2013 Aug,2013 Sept,2013 Oct,2013 Nov,2013 Dec,2014 Jan,2014 Feb,2014 Mar,2014 Apr,2014 May,2014 June,2014 July,2014 Aug,2014 Sept,2014 Oct,2014 Nov,2014 Dec,2015 Jan,2015 Feb,2015 Mar,2015 Apr,2015 May,2015 June,2015 July,2015 Aug,2015 Sept,2015 Oct,2015 Nov,2015 Dec,2016 Jan,2016 Feb,2016 Mar,2016 Apr,2016 May,2016 Jun,2016 Jul,2016 Aug,2016 Sep,2016 Oct,2016 Nov,2016 Dec,2017 Jan,2017 Feb,2017 Mar,2017 Apr,2017 May,2017 Jun,2017 Jul,2017 Aug,2017 Sep,2017 Oct,2017 Nov,2017 Dec,2018 Jan,2018 Feb,2018 Mar,2018 Apr,2018 May,2018 Jun,2018 Jul,2018 Aug,2018 Sep,2018 Oct,2018 Nov,2018 Dec
Algeria,Primary,500,500,500,500,500,500,500,500,500,500,500,500,464,464,464,464,464,464,464,464,464,464,464,469,137,137,137,137,137,137,137,137,137,137,137,147,414,414,414,414,414,414,414,414,414,414,414,416,338,338,338,338,338,338,338,338,338,338,338,333,501,502,502,502,502,502,501,502,502,502,502,502,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,155,155,155,155,155,155,155,155,155,155,155,151,324,324,324,324,324,324,324,324,324,324,324,329,198,198,198,198,198,198,198,198,200,200,199,198,350,350,350,350,350,350,350,350,350,350,350,350,356,356,356,356,356,356,356,356,356,356,356,356,478,478,478,478,478,478,477,478,478,478,478,477,925,925,925,925,925,925,925,925,925,925,925,930,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1190,1693,1567,2182,1134,2212,881,589,1210,245,1348,796,1245,704,1539,1625,1135,1500,1529,1076,1871,593,1934,1989,1897,1263,2674,1624,3100,2331,1142,1254,1302,1422,2017,2797,2393,1878,1900,,,,,,,,,,
Cameroon,Primary,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,2058,2058,2059,2058,2058,2059,2058,2058,2059,2058,2058,2059,2066,2066,2068,2066,2066,2068,2066,2066,2068,2066,2066,2068,1841,1842,1842,1841,1842,1842,1841,1842,1842,1841,1842,1842,2016,2017,2017,2016,2017,2017,2016,2017,2017,2016,2017,2017,2091,2092,2092,2091,2092,2092,2091,2092,2092,2091,2092,2092,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1950,1950,1878,1878,1878,1878,1878,1880,1878,1878,1880,1878,1878,1878,940,935,935,935,940,935,935,935,940,935,935,935,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,,,,,,,,,,
Egypt,Primary,6451,6451,6453,6452,6452,6452,6451,6451,6453,6452,6452,6452,6657,6657,6658,7678,7678,7679,5547,5547,5548,6501,6501,6501,8902,7629,9217,7586,8163,8178,5553,7084,8825,8238,8439,10079,7948,7296,8874,7455,8119,8298,4457,7698,6992,8164,7490,7764,6058,7920,6774,6481,6212,8827,5943,7390,7295,6001,7066,6761,6360,6698,9611,6418,6169,6275,5923,6564,6977,7130,6844,6855,8043,7180,6756,7985,8696,8831,7758,8781,8327,8745,7886,7496,7011,7070,8984,8359,7841,7017,7303,7276,6943,8177,7489,7802,7916,8220,8981,7124,9200,8851,7600,8569,9066,7934,7764,9251,8209,7918,8951,7465,8599,8044,8311,8584,8397,7897,7416,8546,6905,7518,7991,7482,8435,8658,7488,8848,9000,8140,8635,8970,8349,10126,9953,7991,9622,8808,9500,8410,8552,8338,9433,10438,8507,8782,9407,8575,8749,6707,10455,9112,9222,9235,8580,9201,21164,13663,16525,17455,19215,18227,21122,18951,20127,20560,16701,19393,14983,15435,14104,17722,14240,15719,16237,16432,17720,17131,17553,17284,16491,17389,18260,21057,20111,17184,19092,20138,20706,18394,18814,19152,23103,24823,20520,21015,20419,22219,22586,21113,19439,23019,23393,22727,25218,28706,27190,27748,24423,28806,31068,28042,23646,28018,25452,26552,24198,10724,20337,16253,24664,20560,22823,23620,14779,30821,18252,27252,26507,10224,21743,15999,21714,14527,23133,22651,17241,21524,17778,19909,24080,15813,24453,22295,25244,19695,22607,24850,20108,24304,17251,21060,27683,13048,20754,20055,23971,18471,23317,20270,22811,19477,13250,19398,25115,9381,18877,14567,18685,19114,19589,18334,12426,13979,11861,19302,15500,15500,,,,,,,,,,
Ghana,Primary,1341,1341,1343,1341,1341,1343,1341,1341,1343,1341,1341,1343,1341,1341,1343,1341,1341,1343,1341,1341,1343,1341,1341,1343,1341,1341,1343,1341,1341,1343,1341,1341,1343,1341,1341,1343,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1334,1333,1333,1333,1334,1334,1334,1332,1334,1333,1333,1333,1333,1334,1333,1333,1334,1333,1334,1333,1333,1333,1334,1334,1333,1333,1333,1333,1334,1332,1334,1334,1332,1334,1334,1332,1334,1334,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1191,1191,1190,1063,1063,1063,1063,1063,1065,1200,1200,1200,826,826,827,826,826,827,827,827,826,827,826,822,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,,
Morocco,Primary,269,269,269,269,269,269,269,269,269,269,269,275,133,133,133,133,133,133,133,133,133,133,133,136,203,203,203,203,203,203,203,203,203,203,203,206,308,308,308,308,308,308,308,308,308,308,308,312,295,295,295,295,295,295,295,295,295,295,295,298,472,472,472,472,472,472,472,472,472,472,472,475,475,475,475,475,475,475,475,475,475,475,475,475,588,588,588,588,588,588,588,588,588,588,588,588,561,561,561,561,561,561,561,561,561,561,561,561,675,675,675,675,675,675,675,675,675,675,675,675,862,862,862,862,862,862,862,862,862,862,862,862,321,1604,1310,260,1157,559,1542,655,605,1596,1409,1207,1939,866,1699,1531,945,2249,1261,1215,273,2415,645,429,2193,1457,1346,1327,613,2077,1938,1613,1125,2211,1203,460,769,2360,1700,1913,1311,2092,1470,1147,1100,1654,988,1557,1334,824,2867,1285,1815,1828,1104,1131,1319,838,1420,1495,1993,2334,2208,2646,2204,2559,2248,1057,1247,2235,2054,2256,1641,2211,2662,1912,1582,2993,826,818,855,1149,2702,1661,2010,457,2385,799,2440,1841,2453,2223,753,1661,3560,1358,2604,1333,1209,1847,2605,1330,1676,2539,1664,2417,1095,3473,2015,1689,2115,2090,2804,2112,2048,2580,2334,2310,2108,2268,2562,1756,2380,3028,2381,3025,3441,2817,3393,2854,5849,4066,4088,3384,4414,3852,3990,3717,2902,4195,4069,4582,3940,3902,4109,4100,,,,,,,,,,
Nigeria,Primary,583,583,583,583,583,583,583,583,583,583,583,587,583,583,583,583,583,583,583,583,583,583,583,587,583,583,583,583,583,583,583,583,583,583,583,587,667,667,667,667,667,667,667,667,667,667,667,663,667,667,667,667,667,667,667,667,667,667,667,663,904,904,905,904,905,905,904,904,905,904,905,905,916,917,917,916,917,917,916,917,917,916,917,917,916,917,917,916,917,917,916,917,917,916,917,917,916,917,917,916,917,917,916,917,917,916,917,917,917,916,917,917,916,917,917,916,917,917,916,917,917,917,916,917,917,916,917,917,916,917,917,916,917,916,917,917,916,917,917,916,917,917,917,916,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1320,1325,1325,1325,1330,1325,1325,1320,1325,1330,1325,1325,1330,1325,1325,1325,1330,1325,1325,1330,1325,1325,1330,1325,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,,,,,,,,,,
South Africa,Primary,9975,9975,9975,9975,9975,9975,9975,9975,9975,9975,9975,9975,7705,7212,7026,8443,10507,7948,8933,7686,9582,9566,9809,6583,8721,8943,9135,10800,10327,11437,11089,10276,9616,11779,11503,9839,3506,3507,3506,10090,11471,1062,13549,12585,4962,21931,8191,48430,8733,9739,8806,11319,12388,11194,10360,10716,10879,7223,11801,11882,9678,9678,9678,9678,9678,9679,24825,25324,23186,18858,16722,19313,14559,14559,14560,14559,14559,14560,19787,12504,15461,30456,23535,17723,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22807,22807,22807,22807,22807,22807,26765,26765,26766,26766,26765,26765,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,36387,33125,32607,28859,38524,53396,39746,45917,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,,,,,,,,,
Other Africa,Primary,653,653,653,653,653,653,653,653,653,653,653,656,770,770,770,770,770,770,770,770,770,770,770,772,618,618,619,618,618,619,618,618,619,618,618,619,810,810,810,810,810,810,810,810,810,810,810,810,521,521,521,521,521,522,521,521,521,521,522,522,663,663,664,663,663,664,663,663,664,663,663,664,670,670,670,670,670,670,670,670,670,670,670,670,767,767,767,767,767,768,767,767,767,767,767,768,766,767,767,766,767,767,766,767,767,766,767,767,1541,1541,1541,1541,1541,1541,1541,1541,1541,1541,1541,1541,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2856,2856,2856,2856,2856,2856,2856,2856,2856,2852,2856,2856,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,,,,,,,,,,
